h3_res8,total_violations,avg_severity,max_severity,avg_lane_blockage,max_lane_blockage,avg_vehicle_size,unique_hours,unique_days,lat_center,lng_center,road_multiplier,is_junction,junction_boost,vehicle_entropy,temporal_persistence,dominant_violation,dominant_vehicle,police_station,junction_name,location_name,D_norm,S_norm,P_norm,R_norm,V_norm,cis_raw,cis_score,cis_category,carriageway_reduction
8860144a2dfffff,4,2.5,2.5,25.0,25,1.0,1,1,13.07107965,77.443322975,1.0,False,1.0,-1.4426951601859516e-10,0.041666666666666664,WRONG PARKING,LORRY/GOODS VEHICLE,No Police Station,No Junction,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",0.00033415014479839606,0.3333333333333333,0.041666666666666664,0.0,0.0,0.08968357837677285,10.352571693612964,low,10.0
8860144b4dfffff,19,2.460526315789474,2.5,25.0,25,0.6,1,1,13.085203484210528,77.48646901578948,1.0,False,1.0,0.8997437584097234,0.041666666666666664,WRONG PARKING,SCOOTER,Chikkabanavara,No Junction,"Maruti Mandir Road, MSPP Layout, Soladevanahalli, Bengaluru, Karnataka. Pin-560107 (India)",0.0020049008687903764,0.3157894736842106,0.041666666666666664,0.0,0.2938117090713305,0.10930377540739622,12.787077085256184,low,25.0
8860144b5bfffff,9,2.5,2.5,25.0,25,2.033333333333333,5,6,13.068674333333334,77.44794017777777,1.0,False,1.0,1.7527152784026265,0.20833333333333334,WRONG PARKING,HGV,No Police Station,No Junction,"Mumbai Bengaluru Highway, Rajadhani Layout, Adakamaranahalli, Bengaluru, Karnataka. Pin-562162 (India)",0.0008910670527957229,0.3333333333333333,0.20833333333333334,0.0,0.5723499236415028,0.16063864734049227,19.156790004314768,low,3.75
8860145109fffff,1,3.0,3.0,30.0,30,0.6,1,1,12.8778133,77.517105,1.0,False,1.0,-1.4426951601859516e-10,0.041666666666666664,NO PARKING,SCOOTER,Thalagattapura,No Junction,"Vajarahalli Road, Pavamanapura, Bengaluru, Karnataka. Pin-560062 (India)",0.0,0.5555555555555556,0.041666666666666664,0.0,0.0,0.1451388888888889,17.233555214128916,low,3.0
8860145121fffff,3,3.3333333333333335,3.75,41.666666666666664,50,1.0666666666666667,2,2,12.911882933333333,77.51371073333333,2.0,False,1.0,0.9182958337659504,0.08333333333333333,PARKING IN A MAIN ROAD,CAR,Kengeri,No Junction,"Sri Sri Sri Tiruchi Mahaswamiji Road, Janakshi Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",0.00022276676319893073,0.7037037037037037,0.08333333333333333,1.0,0.29986989721146645,0.33248234773180296,40.479430876350705,moderate,6.25
8860145123fffff,5,3.0,3.0,30.0,30,0.6,2,2,12.90970126,77.51332904,1.0,False,1.0,0.7219280945988233,0.08333333333333333,NO PARKING,SCOOTER,Kengeri,No Junction,"Sri Sri Sri Tiruchi Mahaswamiji Road, Subhash Chandrabose Nagar, BEML Layout Stage 5, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",0.00044553352639786146,0.5555555555555556,0.08333333333333333,0.0,0.23574592802284927,0.17038222318863622,20.365788461321465,low,7.5
8860145125fffff,9,2.638888888888889,3.75,30.0,70,1.3444444444444443,4,4,12.916572966666667,77.52058868888889,1.7,False,1.0,0.9864267282980339,0.16666666666666666,WRONG PARKING,CAR,Kengeri,No Junction,"Model Road, Krishnappa Block, BEML Layout Stage 3, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",0.0008910670527957229,0.3950617283950617,0.16666666666666666,0.7,0.32211806995256004,0.23380219781080894,28.235040228496516,low,6.75
8860145129fffff,1,3.0,3.0,30.0,30,1.5,1,1,12.9026833,77.5190814,1.0,False,1.0,-1.4426951601859516e-10,0.041666666666666664,NO PARKING,JEEP,Kengeri,No Junction,"Dr Vishnuvardhan Main Road, Channasandra, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",0.0,0.5555555555555556,0.041666666666666664,0.0,0.0,0.1451388888888889,17.233555214128916,low,3.0
886014512bfffff,4,3.0,3.0,30.0,30,1.7000000000000002,3,3,12.904153025,77.51204185,1.0,False,1.0,1.4999999995671913,0.125,NO PARKING,CAR,Kengeri,No Junction,"Sri Sri Sri Tiruchi Mahaswamiji Road, Srinivasapura Cross, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",0.00033415014479839606,0.5555555555555556,0.125,0.0,0.4898256412809252,0.19692518523480243,23.65928159549923,low,4.0
8860145141fffff,2,3.0,3.5,37.5,50,1.4000000000000001,2,2,12.876135699999999,77.53007835,2.0,False,1.0,0.9999999997114609,0.08333333333333333,WRONG PARKING,MAXI-CAB,Thalagattapura,No Junction,"Vajarahalli Road, Prasad Layout, Ganigara Palya, Lingadheeranahalli Andhrahalli, Bengaluru, Karnataka. Pin-560109 (India)",0.00011138338159946537,0.5555555555555556,0.08333333333333333,1.0,0.3265504275363206,0.2975463381062744,36.14451499028192,low,3.75
